,CTRL,,,,,,,,,,PMCI,,,,,,,,,,Mixed ANOVA,,,,,,,
,NREM,,,,,REM,,,,,NREM,,,,,REM,,,,,Group,,,Stage,,,Group x Stage,
,,,,,,,,,,,,,,,,,,,,,"Df = 1,16",,,"Df = 1,16",,,"Df = 1,16",
,Mean (SD),,,,,Mean (SD),,,,,Mean (SD),,,,,Mean (SD),,,,,F,p,,F,p,,F,p
LOG,1.296,(,0.084,),,1.341,(,0.150,),,1.393,(,0.064,),,1.539,(,0.142,),,8.059,0.012,,3.402,0.084,,0.971,0.339
ROG,1.307,(,0.071,),,1.287,(,0.165,),,1.346,(,0.078,),,1.482,(,0.127,),,5.051,0.039,,1.270,0.276,,2.234,0.154
LOG-ROG,1.234,(,0.084,),,1.260,(,0.149,),,1.346,(,0.115,),,1.446,(,0.194,),,5.504,0.032,,0.997,0.333,,0.340,0.568
