Fp1-Fp2,1.25,(,0.12,),,1.23,(,0.15,),,1.32,(,0.16,),,1.35,(,0.18,),,18.5,|,0.000,,0.1,,0.812,,1.4,,0.246
F7-F8,1.29,(,0.18,),,1.27,(,0.17,),,1.31,(,0.24,),,1.39,(,0.20,),,6.3,|,0.013,,1.3,,0.255,,3.4,,0.068
F3-F4,1.25,(,0.20,),,1.19,(,0.18,),,1.23,(,0.16,),,1.27,(,0.15,),,1.7,,0.189,,0.1,,0.702,,3.1,,0.080
T3-T4,1.28,(,0.16,),,1.23,(,0.16,),,1.22,(,0.15,),,1.29,(,0.13,),,0.0,,0.900,,0.4,,0.507,,7.5,|,0.007
C3-C4,1.24,(,0.17,),,1.18,(,0.18,),,1.20,(,0.14,),,1.21,(,0.11,),,0.1,,0.771,,1.2,,0.280,,3.0,,0.083
T5-T6,1.24,(,0.11,),,1.19,(,0.17,),,1.22,(,0.18,),,1.27,(,0.23,),,2.1,,0.151,,0.0,,0.932,,3.7,,0.055
P3-P4,1.19,(,0.19,),,1.12,(,0.16,),,1.18,(,0.15,),,1.18,(,0.13,),,1.0,,0.317,,2.2,,0.143,,3.2,,0.074
O1-O2,1.27,(,0.14,),,1.16,(,0.15,),,1.19,(,0.14,),,1.18,(,0.15,),,2.1,,0.150,,8.5,|,0.004,,5.9,|,0.016
LOG-ROG,1.25,(,0.11,),,1.28,(,0.16,),,1.35,(,0.13,),,1.45,(,0.19,),,36.7,|,0.000,,9.2,|,0.003,,3.0,,0.086
Fp2-P4,1.23,(,0.15,),,1.19,(,0.16,),,1.22,(,0.14,),,1.30,(,0.16,),,5.1,|,0.025,,0.7,,0.419,,6.6,|,0.011
Fp1-P3,1.24,(,0.15,),,1.20,(,0.13,),,1.23,(,0.15,),,1.31,(,0.15,),,6.2,|,0.014,,1.0,,0.328,,8.1,|,0.005
O2-P4-T4,1.25,(,0.14,),,1.22,(,0.18,),,1.22,(,0.16,),,1.25,(,0.14,),,0.0,,0.944,,0.0,,0.934,,2.1,,0.146
O1-P3-T3,1.26,(,0.14,),,1.19,(,0.16,),,1.16,(,0.14,),,1.19,(,0.12,),,6.6,|,0.011,,1.3,,0.262,,6.3,|,0.013
