"Participante","Canal","Epocas","Epocas_estacionarias","Grupo","Etapa","Proporcion"
8,"Fp2",30,0,1,"NMOR",0
8,"Fp2",30,0,1,"MOR",0
8,"Fp1",30,0,1,"NMOR",0
8,"Fp1",30,0,1,"MOR",0
8,"F8",30,0,1,"NMOR",0
8,"F8",30,0,1,"MOR",0
8,"F7",30,3,1,"NMOR",10
8,"F7",30,3,1,"MOR",10
8,"F4",30,0,1,"NMOR",0
8,"F4",30,3,1,"MOR",10
8,"F3",30,0,1,"NMOR",0
8,"F3",30,3,1,"MOR",10
8,"T4",30,0,1,"NMOR",0
8,"T4",30,3,1,"MOR",10
8,"T3",30,3,1,"NMOR",10
8,"T3",30,9,1,"MOR",30
8,"C4",30,0,1,"NMOR",0
8,"C4",30,0,1,"MOR",0
8,"C3",30,3,1,"NMOR",10
8,"C3",30,0,1,"MOR",0
8,"T6",30,0,1,"NMOR",0
8,"T6",30,0,1,"MOR",0
8,"T5",30,3,1,"NMOR",10
8,"T5",30,0,1,"MOR",0
8,"P4",30,3,1,"NMOR",10
8,"P4",30,0,1,"MOR",0
8,"P3",30,6,1,"NMOR",20
8,"P3",30,3,1,"MOR",10
8,"O2",30,0,1,"NMOR",0
8,"O2",30,3,1,"MOR",10
8,"O1",30,3,1,"NMOR",10
8,"O1",30,9,1,"MOR",30
8,"FZ",30,3,1,"NMOR",10
8,"FZ",30,3,1,"MOR",10
8,"CZ",30,3,1,"NMOR",10
8,"CZ",30,0,1,"MOR",0
8,"PZ",30,0,1,"NMOR",0
8,"PZ",30,6,1,"MOR",20
8,"LOG",30,6,1,"NMOR",20
8,"LOG",30,6,1,"MOR",20
8,"ROG",30,6,1,"NMOR",20
8,"ROG",30,3,1,"MOR",10
8,"EMG",30,3,1,"NMOR",10
8,"EMG",30,3,1,"MOR",10
