"Etapa","[#]","Epoca [#]","Inicio [hhmmss]","Fin [hhmmss]"
"NMOR","1","596","04:57:30","04:58:0"
"NMOR","2","597","04:58:0","04:58:30"
"NMOR","3","598","04:58:30","04:59:0"
"NMOR","4","599","04:59:0","04:59:30"
"NMOR","5","600","04:59:30","05:00:00"
"NMOR","6","601","05:00:00","05:00:030"
"NMOR","7","602","05:00:030","05:01:00"
"NMOR","8","603","05:01:00","05:01:030"
"NMOR","9","604","05:01:030","05:02:00"
"NMOR","10","605","05:02:00","05:02:030"
"MOR","1","606","05:02:030","05:03:00"
"MOR","2","607","05:03:00","05:03:030"
"MOR","3","608","05:03:030","05:04:00"
"MOR","4","609","05:04:00","05:04:030"
"MOR","5","610","05:04:030","05:05:00"
"MOR","6","611","05:05:00","05:05:030"
"MOR","7","612","05:05:030","05:06:00"
"MOR","8","613","05:06:00","05:06:030"
"MOR","9","622","05:10:30","05:11:0"
"MOR","10","625","05:12:0","05:12:30"
