"Participante","Canal","Epocas","Epocas_estacionarias","Grupo","Etapa","Proporcion"
7,"Fp2",10,2,1,"NMOR",20
7,"Fp2",10,4,1,"MOR",40
7,"Fp1",10,3,1,"NMOR",30
7,"Fp1",10,4,1,"MOR",40
7,"F8",10,4,1,"NMOR",40
7,"F8",10,7,1,"MOR",70
7,"F7",10,8,1,"NMOR",80
7,"F7",10,7,1,"MOR",70
7,"F4",10,4,1,"NMOR",40
7,"F4",10,7,1,"MOR",70
7,"F3",10,5,1,"NMOR",50
7,"F3",10,6,1,"MOR",60
7,"T4",10,4,1,"NMOR",40
7,"T4",10,6,1,"MOR",60
7,"T3",10,5,1,"NMOR",50
7,"T3",10,7,1,"MOR",70
7,"C4",10,4,1,"NMOR",40
7,"C4",10,4,1,"MOR",40
7,"C3",10,6,1,"NMOR",60
7,"C3",10,2,1,"MOR",20
7,"T6",10,1,1,"NMOR",10
7,"T6",10,1,1,"MOR",10
7,"T5",10,1,1,"NMOR",10
7,"T5",10,1,1,"MOR",10
7,"P4",10,7,1,"NMOR",70
7,"P4",10,0,1,"MOR",0
7,"P3",10,3,1,"NMOR",30
7,"P3",10,4,1,"MOR",40
7,"O2",10,6,1,"NMOR",60
7,"O2",10,7,1,"MOR",70
7,"O1",10,4,1,"NMOR",40
7,"O1",10,4,1,"MOR",40
7,"FZ",10,1,1,"NMOR",10
7,"FZ",10,4,1,"MOR",40
7,"CZ",10,2,1,"NMOR",20
7,"CZ",10,6,1,"MOR",60
7,"PZ",10,3,1,"NMOR",30
7,"PZ",10,4,1,"MOR",40
7,"LOG",10,4,1,"NMOR",40
7,"LOG",10,3,1,"MOR",30
7,"ROG",10,6,1,"NMOR",60
7,"ROG",10,0,1,"MOR",0
7,"EMG",10,0,1,"NMOR",0
7,"EMG",10,2,1,"MOR",20
