"Etapa","[#]","Epoca [#]","Inicio [hhmmss]","Fin [hhmmss]"
"NMOR","1","232","01:55:30","01:56:0"
"NMOR","2","233","01:56:0","01:56:30"
"NMOR","3","234","01:56:30","01:57:0"
"NMOR","4","235","01:57:0","01:57:30"
"NMOR","5","236","01:57:30","01:58:0"
"NMOR","6","237","01:58:0","01:58:30"
"NMOR","7","238","01:58:30","01:59:0"
"NMOR","8","239","01:59:0","01:59:30"
"NMOR","9","240","01:59:30","02:00:00"
"NMOR","10","241","02:00:00","02:00:030"
"MOR","1","242","02:00:030","02:01:00"
"MOR","2","243","02:01:00","02:01:030"
"MOR","3","244","02:01:030","02:02:00"
"MOR","4","245","02:02:00","02:02:030"
"MOR","5","246","02:02:030","02:03:00"
"MOR","6","247","02:03:00","02:03:030"
"MOR","7","248","02:03:030","02:04:00"
"MOR","8","249","02:04:00","02:04:030"
"MOR","9","250","02:04:030","02:05:00"
"MOR","10","251","02:05:00","02:05:030"
