"Participante","Canal","Epocas","Epocas_estacionarias","Grupo","Etapa","Proporcion"
5,"Fp2",30,5,0,"NMOR",16.6666666666667
5,"Fp2",30,5,0,"MOR",16.6666666666667
5,"Fp1",30,0,0,"NMOR",0
5,"Fp1",30,3,0,"MOR",10
5,"F8",30,0,0,"NMOR",0
5,"F8",30,0,0,"MOR",0
5,"F7",30,6,0,"NMOR",20
5,"F7",30,9,0,"MOR",30
5,"F4",30,3,0,"NMOR",10
5,"F4",30,3,0,"MOR",10
5,"F3",30,17,0,"NMOR",56.6666666666667
5,"F3",30,14,0,"MOR",46.6666666666667
5,"T4",30,8,0,"NMOR",26.6666666666667
5,"T4",30,9,0,"MOR",30
5,"T3",30,17,0,"NMOR",56.6666666666667
5,"T3",30,24,0,"MOR",80
5,"C4",30,3,0,"NMOR",10
5,"C4",30,3,0,"MOR",10
5,"C3",30,6,0,"NMOR",20
5,"C3",30,8,0,"MOR",26.6666666666667
5,"T6",30,2,0,"NMOR",6.66666666666667
5,"T6",30,3,0,"MOR",10
5,"T5",30,3,0,"NMOR",10
5,"T5",30,0,0,"MOR",0
5,"P4",30,0,0,"NMOR",0
5,"P4",30,0,0,"MOR",0
5,"P3",30,6,0,"NMOR",20
5,"P3",30,0,0,"MOR",0
5,"O2",30,3,0,"NMOR",10
5,"O2",30,6,0,"MOR",20
5,"O1",30,3,0,"NMOR",10
5,"O1",30,3,0,"MOR",10
5,"FZ",30,10,0,"NMOR",33.3333333333333
5,"FZ",30,13,0,"MOR",43.3333333333333
5,"CZ",30,3,0,"NMOR",10
5,"CZ",30,4,0,"MOR",13.3333333333333
5,"PZ",30,10,0,"NMOR",33.3333333333333
5,"PZ",30,6,0,"MOR",20
5,"LOG",30,3,0,"NMOR",10
5,"LOG",30,3,0,"MOR",10
5,"ROG",30,1,0,"NMOR",3.33333333333333
5,"ROG",30,0,0,"MOR",0
5,"EMG",30,0,0,"NMOR",0
5,"EMG",30,6,0,"MOR",20
