"Etapa","[#]","Epoca [#]","Inicio [hhmmss]","Fin [hhmmss]"
"NMOR","1","266","02:12:30","02:13:0"
"NMOR","2","267","02:13:0","02:13:30"
"NMOR","3","268","02:13:30","02:14:0"
"NMOR","4","269","02:14:0","02:14:30"
"NMOR","5","270","02:14:30","02:15:0"
"NMOR","6","271","02:15:0","02:15:30"
"NMOR","7","272","02:15:30","02:16:0"
"NMOR","8","273","02:16:0","02:16:30"
"NMOR","9","274","02:16:30","02:17:0"
"NMOR","10","275","02:17:0","02:17:30"
"MOR","1","276","02:17:30","02:18:0"
"MOR","2","277","02:18:0","02:18:30"
"MOR","3","282","02:20:30","02:21:0"
"MOR","4","283","02:21:0","02:21:30"
"MOR","5","284","02:21:30","02:22:0"
"MOR","6","285","02:22:0","02:22:30"
"MOR","7","286","02:22:30","02:23:0"
"MOR","8","287","02:23:0","02:23:30"
"MOR","9","288","02:23:30","02:24:0"
"MOR","10","289","02:24:0","02:24:30"
