"Etapa","[#]","Epoca [#]","Inicio [hhmmss]","Fin [hhmmss]"
"NMOR","1","934","02:35:30","02:35:40"
"NMOR","2","935","02:35:40","02:35:50"
"NMOR","3","936","02:35:50","02:36:0"
"NMOR","4","937","02:36:0","02:36:10"
"NMOR","5","938","02:36:10","02:36:20"
"NMOR","6","939","02:36:20","02:36:30"
"NMOR","7","940","02:36:30","02:36:40"
"NMOR","8","941","02:36:40","02:36:50"
"NMOR","9","942","02:36:50","02:37:0"
"NMOR","10","943","02:37:0","02:37:10"
"NMOR","11","944","02:37:10","02:37:20"
"NMOR","12","945","02:37:20","02:37:30"
"NMOR","13","946","02:37:30","02:37:40"
"NMOR","14","947","02:37:40","02:37:50"
"NMOR","15","948","02:37:50","02:38:0"
"NMOR","16","949","02:38:0","02:38:10"
"NMOR","17","950","02:38:10","02:38:20"
"NMOR","18","951","02:38:20","02:38:30"
"NMOR","19","952","02:38:30","02:38:40"
"NMOR","20","953","02:38:40","02:38:50"
"NMOR","21","954","02:38:50","02:39:0"
"NMOR","22","955","02:39:0","02:39:10"
"NMOR","23","956","02:39:10","02:39:20"
"NMOR","24","957","02:39:20","02:39:30"
"NMOR","25","958","02:39:30","02:39:40"
"NMOR","26","959","02:39:40","02:39:50"
"NMOR","27","960","02:39:50","02:40:0"
"NMOR","28","961","02:40:0","02:40:10"
"NMOR","29","962","02:40:10","02:40:20"
"NMOR","30","963","02:40:20","02:40:30"
"MOR","1","964","02:40:30","02:40:40"
"MOR","2","965","02:40:40","02:40:50"
"MOR","3","966","02:40:50","02:41:0"
"MOR","4","967","02:41:0","02:41:10"
"MOR","5","968","02:41:10","02:41:20"
"MOR","6","969","02:41:20","02:41:30"
"MOR","7","970","02:41:30","02:41:40"
"MOR","8","971","02:41:40","02:41:50"
"MOR","9","972","02:41:50","02:42:0"
"MOR","10","973","02:42:0","02:42:10"
"MOR","11","974","02:42:10","02:42:20"
"MOR","12","975","02:42:20","02:42:30"
"MOR","13","976","02:42:30","02:42:40"
"MOR","14","977","02:42:40","02:42:50"
"MOR","15","978","02:42:50","02:43:0"
"MOR","16","979","02:43:0","02:43:10"
"MOR","17","980","02:43:10","02:43:20"
"MOR","18","981","02:43:20","02:43:30"
"MOR","19","984","02:43:50","02:44:0"
"MOR","20","985","02:44:0","02:44:10"
"MOR","21","986","02:44:10","02:44:20"
"MOR","22","987","02:44:20","02:44:30"
"MOR","23","988","02:44:30","02:44:40"
"MOR","24","989","02:44:40","02:44:50"
"MOR","25","990","02:44:50","02:45:0"
"MOR","26","991","02:45:0","02:45:10"
"MOR","27","992","02:45:10","02:45:20"
"MOR","28","993","02:45:20","02:45:30"
"MOR","29","994","02:45:30","02:45:40"
"MOR","30","995","02:45:40","02:45:50"
