"Participante","Canal","Valido","Estacionario","Grupo","Etapa","Indice"
5,"Fp2",1,1,0,0,1
5,"Fp2",1,1,0,0,2
5,"Fp2",1,0,0,0,3
5,"Fp2",1,0,0,0,4
5,"Fp2",1,0,0,0,5
5,"Fp2",1,1,0,0,6
5,"Fp2",1,1,0,0,7
5,"Fp2",1,1,0,0,8
5,"Fp2",1,0,0,0,9
5,"Fp2",1,0,0,0,10
5,"Fp2",1,0,0,0,11
5,"Fp2",1,0,0,0,12
5,"Fp2",1,0,0,0,13
5,"Fp2",1,0,0,0,14
5,"Fp2",1,0,0,0,15
5,"Fp2",1,0,0,0,16
5,"Fp2",1,0,0,0,17
5,"Fp2",1,0,0,0,18
5,"Fp2",1,0,0,0,19
5,"Fp2",1,0,0,0,20
5,"Fp2",1,0,0,0,21
5,"Fp2",1,0,0,0,22
5,"Fp2",1,0,0,0,23
5,"Fp2",1,0,0,0,24
5,"Fp2",1,0,0,0,25
5,"Fp2",1,0,0,0,26
5,"Fp2",1,0,0,0,27
5,"Fp2",1,0,0,0,28
5,"Fp2",1,0,0,0,29
5,"Fp2",1,0,0,0,30
5,"Fp2",1,0,0,1,31
5,"Fp2",1,0,0,1,32
5,"Fp2",1,0,0,1,33
5,"Fp2",1,0,0,1,34
5,"Fp2",1,0,0,1,35
5,"Fp2",1,1,0,1,36
5,"Fp2",1,1,0,1,37
5,"Fp2",1,1,0,1,38
5,"Fp2",1,0,0,1,39
5,"Fp2",1,0,0,1,40
5,"Fp2",1,0,0,1,41
5,"Fp2",1,0,0,1,42
5,"Fp2",1,0,0,1,43
5,"Fp2",1,0,0,1,44
5,"Fp2",1,0,0,1,45
5,"Fp2",1,0,0,1,46
5,"Fp2",1,0,0,1,47
5,"Fp2",1,0,0,1,48
5,"Fp2",1,0,0,1,49
5,"Fp2",1,0,0,1,50
5,"Fp2",1,0,0,1,51
5,"Fp2",1,0,0,1,52
5,"Fp2",1,0,0,1,53
5,"Fp2",1,0,0,1,54
5,"Fp2",1,0,0,1,55
5,"Fp2",1,0,0,1,56
5,"Fp2",1,0,0,1,57
5,"Fp2",1,0,0,1,58
5,"Fp2",1,0,0,1,59
5,"Fp2",1,0,0,1,60
5,"Fp1",1,1,0,0,1
5,"Fp1",1,1,0,0,2
5,"Fp1",1,0,0,0,3
5,"Fp1",1,0,0,0,4
5,"Fp1",1,0,0,0,5
5,"Fp1",1,1,0,0,6
5,"Fp1",1,1,0,0,7
5,"Fp1",1,1,0,0,8
5,"Fp1",1,0,0,0,9
5,"Fp1",1,0,0,0,10
5,"Fp1",1,0,0,0,11
5,"Fp1",1,0,0,0,12
5,"Fp1",1,0,0,0,13
5,"Fp1",1,0,0,0,14
5,"Fp1",1,0,0,0,15
5,"Fp1",1,0,0,0,16
5,"Fp1",1,0,0,0,17
5,"Fp1",1,0,0,0,18
5,"Fp1",1,0,0,0,19
5,"Fp1",1,0,0,0,20
5,"Fp1",1,0,0,0,21
5,"Fp1",1,0,0,0,22
5,"Fp1",1,0,0,0,23
5,"Fp1",1,0,0,0,24
5,"Fp1",1,0,0,0,25
5,"Fp1",1,0,0,0,26
5,"Fp1",1,0,0,0,27
5,"Fp1",1,0,0,0,28
5,"Fp1",1,0,0,0,29
5,"Fp1",1,0,0,0,30
5,"Fp1",1,0,0,1,31
5,"Fp1",1,0,0,1,32
5,"Fp1",1,0,0,1,33
5,"Fp1",1,0,0,1,34
5,"Fp1",1,0,0,1,35
5,"Fp1",1,0,0,1,36
5,"Fp1",1,0,0,1,37
5,"Fp1",1,0,0,1,38
5,"Fp1",1,0,0,1,39
5,"Fp1",1,0,0,1,40
5,"Fp1",1,0,0,1,41
5,"Fp1",1,0,0,1,42
5,"Fp1",1,0,0,1,43
5,"Fp1",1,0,0,1,44
5,"Fp1",1,0,0,1,45
5,"Fp1",1,0,0,1,46
5,"Fp1",1,0,0,1,47
5,"Fp1",1,0,0,1,48
5,"Fp1",1,0,0,1,49
5,"Fp1",1,0,0,1,50
5,"Fp1",1,0,0,1,51
5,"Fp1",1,0,0,1,52
5,"Fp1",1,0,0,1,53
5,"Fp1",1,0,0,1,54
5,"Fp1",1,0,0,1,55
5,"Fp1",1,0,0,1,56
5,"Fp1",1,0,0,1,57
5,"Fp1",1,0,0,1,58
5,"Fp1",1,0,0,1,59
5,"Fp1",1,0,0,1,60
5,"F8",1,0,0,0,1
5,"F8",1,0,0,0,2
5,"F8",1,0,0,0,3
5,"F8",1,0,0,0,4
5,"F8",1,0,0,0,5
5,"F8",1,0,0,0,6
5,"F8",1,0,0,0,7
5,"F8",1,0,0,0,8
5,"F8",1,0,0,0,9
5,"F8",1,0,0,0,10
5,"F8",1,0,0,0,11
5,"F8",1,0,0,0,12
5,"F8",1,0,0,0,13
5,"F8",1,0,0,0,14
5,"F8",1,0,0,0,15
5,"F8",1,0,0,0,16
5,"F8",1,0,0,0,17
5,"F8",1,0,0,0,18
5,"F8",1,0,0,0,19
5,"F8",1,0,0,0,20
5,"F8",1,0,0,0,21
5,"F8",1,0,0,0,22
5,"F8",1,0,0,0,23
5,"F8",1,0,0,0,24
5,"F8",1,0,0,0,25
5,"F8",1,0,0,0,26
5,"F8",1,0,0,0,27
5,"F8",1,0,0,0,28
5,"F8",1,0,0,0,29
5,"F8",1,0,0,0,30
5,"F8",1,0,0,1,31
5,"F8",1,0,0,1,32
5,"F8",1,0,0,1,33
5,"F8",1,0,0,1,34
5,"F8",1,0,0,1,35
5,"F8",1,0,0,1,36
5,"F8",1,0,0,1,37
5,"F8",1,0,0,1,38
5,"F8",1,0,0,1,39
5,"F8",1,0,0,1,40
5,"F8",1,0,0,1,41
5,"F8",1,0,0,1,42
5,"F8",1,0,0,1,43
5,"F8",1,0,0,1,44
5,"F8",1,0,0,1,45
5,"F8",1,0,0,1,46
5,"F8",1,0,0,1,47
5,"F8",1,0,0,1,48
5,"F8",1,0,0,1,49
5,"F8",1,0,0,1,50
5,"F8",1,0,0,1,51
5,"F8",1,0,0,1,52
5,"F8",1,0,0,1,53
5,"F8",1,0,0,1,54
5,"F8",1,0,0,1,55
5,"F8",1,0,0,1,56
5,"F8",1,0,0,1,57
5,"F8",1,0,0,1,58
5,"F8",1,0,0,1,59
5,"F8",1,0,0,1,60
5,"F7",1,0,0,0,1
5,"F7",1,0,0,0,2
