"Participante","Canal","Valido","Estacionario","Grupo","Etapa","Indice"
4,"Fp2",1,1,0,0,1
4,"Fp2",1,1,0,0,2
4,"Fp2",1,1,0,0,3
4,"Fp2",1,1,0,0,4
4,"Fp2",1,1,0,0,5
4,"Fp2",1,0,0,0,6
4,"Fp2",1,0,0,0,7
4,"Fp2",1,0,0,0,8
4,"Fp2",1,0,0,0,9
4,"Fp2",1,0,0,0,10
4,"Fp2",1,0,0,0,11
4,"Fp2",1,0,0,0,12
4,"Fp2",1,0,0,0,13
4,"Fp2",1,0,0,0,14
4,"Fp2",1,0,0,0,15
4,"Fp2",1,0,0,0,16
4,"Fp2",1,0,0,0,17
4,"Fp2",1,0,0,0,18
4,"Fp2",1,0,0,0,19
4,"Fp2",1,0,0,0,20
4,"Fp2",1,0,0,0,21
4,"Fp2",1,0,0,0,22
4,"Fp2",1,0,0,0,23
4,"Fp2",1,0,0,0,24
4,"Fp2",1,0,0,0,25
4,"Fp2",1,0,0,0,26
4,"Fp2",1,0,0,0,27
4,"Fp2",1,0,0,0,28
4,"Fp2",1,0,0,0,29
4,"Fp2",1,0,0,0,30
4,"Fp2",1,0,0,1,31
4,"Fp2",1,0,0,1,32
4,"Fp2",1,0,0,1,33
4,"Fp2",1,0,0,1,34
4,"Fp2",1,0,0,1,35
4,"Fp2",1,0,0,1,36
4,"Fp2",1,0,0,1,37
4,"Fp2",1,0,0,1,38
4,"Fp2",1,0,0,1,39
4,"Fp2",1,0,0,1,40
4,"Fp2",1,0,0,1,41
4,"Fp2",1,0,0,1,42
4,"Fp2",1,0,0,1,43
4,"Fp2",1,0,0,1,44
4,"Fp2",1,0,0,1,45
4,"Fp2",1,0,0,1,46
4,"Fp2",1,0,0,1,47
4,"Fp2",1,0,0,1,48
4,"Fp2",1,0,0,1,49
4,"Fp2",1,0,0,1,50
4,"Fp2",1,0,0,1,51
4,"Fp2",1,0,0,1,52
4,"Fp2",1,0,0,1,53
4,"Fp2",1,0,0,1,54
4,"Fp2",1,0,0,1,55
4,"Fp2",1,0,0,1,56
4,"Fp2",1,0,0,1,57
4,"Fp2",1,0,0,1,58
4,"Fp2",1,0,0,1,59
4,"Fp2",1,0,0,1,60
4,"Fp1",1,0,0,0,1
4,"Fp1",1,0,0,0,2
4,"Fp1",1,1,0,0,3
4,"Fp1",1,1,0,0,4
4,"Fp1",1,1,0,0,5
4,"Fp1",1,0,0,0,6
4,"Fp1",1,0,0,0,7
4,"Fp1",1,0,0,0,8
4,"Fp1",1,0,0,0,9
4,"Fp1",1,0,0,0,10
4,"Fp1",1,0,0,0,11
4,"Fp1",1,0,0,0,12
4,"Fp1",1,0,0,0,13
4,"Fp1",1,0,0,0,14
4,"Fp1",1,0,0,0,15
4,"Fp1",1,0,0,0,16
4,"Fp1",1,0,0,0,17
4,"Fp1",1,0,0,0,18
4,"Fp1",1,0,0,0,19
4,"Fp1",1,0,0,0,20
4,"Fp1",1,0,0,0,21
4,"Fp1",1,0,0,0,22
4,"Fp1",1,0,0,0,23
4,"Fp1",1,0,0,0,24
4,"Fp1",1,0,0,0,25
4,"Fp1",1,0,0,0,26
4,"Fp1",1,0,0,0,27
4,"Fp1",1,0,0,0,28
4,"Fp1",1,0,0,0,29
4,"Fp1",1,0,0,0,30
4,"Fp1",1,0,0,1,31
4,"Fp1",1,0,0,1,32
4,"Fp1",1,0,0,1,33
4,"Fp1",1,0,0,1,34
4,"Fp1",1,0,0,1,35
4,"Fp1",1,0,0,1,36
4,"Fp1",1,0,0,1,37
4,"Fp1",1,0,0,1,38
4,"Fp1",1,0,0,1,39
4,"Fp1",1,0,0,1,40
4,"Fp1",1,0,0,1,41
4,"Fp1",1,0,0,1,42
4,"Fp1",1,0,0,1,43
4,"Fp1",1,0,0,1,44
4,"Fp1",1,0,0,1,45
4,"Fp1",1,0,0,1,46
4,"Fp1",1,0,0,1,47
4,"Fp1",1,0,0,1,48
4,"Fp1",1,0,0,1,49
4,"Fp1",1,0,0,1,50
4,"Fp1",1,0,0,1,51
4,"Fp1",1,0,0,1,52
4,"Fp1",1,0,0,1,53
4,"Fp1",1,0,0,1,54
4,"Fp1",1,0,0,1,55
4,"Fp1",1,0,0,1,56
4,"Fp1",1,0,0,1,57
4,"Fp1",1,0,0,1,58
4,"Fp1",1,0,0,1,59
4,"Fp1",1,0,0,1,60
4,"F8",1,1,0,0,1
4,"F8",1,1,0,0,2
4,"F8",1,1,0,0,3
4,"F8",1,1,0,0,4
4,"F8",1,1,0,0,5
4,"F8",1,0,0,0,6
4,"F8",1,0,0,0,7
4,"F8",1,0,0,0,8
4,"F8",1,0,0,0,9
4,"F8",1,0,0,0,10
4,"F8",1,0,0,0,11
