"Participante","Canal","Valido","Estacionario","Grupo","Etapa","Indice"
12,"C3",1,0,1,1,13
12,"C3",1,0,1,1,14
12,"C3",1,0,1,1,15
12,"C3",1,0,1,1,16
12,"C3",1,1,1,1,17
12,"C3",1,1,1,1,18
12,"C3",1,0,1,1,19
12,"C3",1,0,1,1,20
12,"T6",1,0,1,0,1
12,"T6",1,1,1,0,2
12,"T6",1,1,1,0,3
12,"T6",1,1,1,0,4
12,"T6",1,0,1,0,5
12,"T6",1,0,1,0,6
12,"T6",1,0,1,0,7
12,"T6",1,0,1,0,8
12,"T6",1,0,1,0,9
12,"T6",1,0,1,0,10
12,"T6",1,0,1,1,11
12,"T6",1,0,1,1,12
12,"T6",1,0,1,1,13
12,"T6",1,0,1,1,14
12,"T6",1,0,1,1,15
12,"T6",1,0,1,1,16
12,"T6",1,0,1,1,17
12,"T6",1,0,1,1,18
12,"T6",1,0,1,1,19
12,"T6",1,0,1,1,20
12,"T5",1,0,1,0,1
12,"T5",1,1,1,0,2
12,"T5",1,1,1,0,3
12,"T5",1,1,1,0,4
12,"T5",1,0,1,0,5
12,"T5",1,1,1,0,6
12,"T5",1,0,1,0,7
12,"T5",1,0,1,0,8
12,"T5",1,0,1,0,9
12,"T5",1,0,1,0,10
12,"T5",1,0,1,1,11
12,"T5",1,0,1,1,12
12,"T5",1,1,1,1,13
12,"T5",1,1,1,1,14
12,"T5",1,0,1,1,15
12,"T5",1,0,1,1,16
12,"T5",1,1,1,1,17
12,"T5",1,0,1,1,18
12,"T5",1,0,1,1,19
12,"T5",1,0,1,1,20
12,"P4",1,1,1,0,1
12,"P4",1,1,1,0,2
12,"P4",1,0,1,0,3
12,"P4",1,0,1,0,4
12,"P4",1,0,1,0,5
12,"P4",1,1,1,0,6
12,"P4",1,0,1,0,7
12,"P4",1,0,1,0,8
12,"P4",1,0,1,0,9
12,"P4",1,0,1,0,10
12,"P4",1,1,1,1,11
12,"P4",1,1,1,1,12
12,"P4",1,0,1,1,13
12,"P4",1,1,1,1,14
12,"P4",1,0,1,1,15
12,"P4",1,0,1,1,16
12,"P4",1,1,1,1,17
12,"P4",1,0,1,1,18
12,"P4",1,1,1,1,19
12,"P4",1,0,1,1,20
12,"P3",1,1,1,0,1
12,"P3",1,0,1,0,2
12,"P3",1,1,1,0,3
12,"P3",1,1,1,0,4
12,"P3",1,1,1,0,5
12,"P3",1,1,1,0,6
12,"P3",1,0,1,0,7
12,"P3",1,0,1,0,8
12,"P3",1,0,1,0,9
12,"P3",1,1,1,0,10
12,"P3",1,1,1,1,11
12,"P3",1,0,1,1,12
12,"P3",1,0,1,1,13
12,"P3",1,0,1,1,14
12,"P3",1,0,1,1,15
12,"P3",1,0,1,1,16
12,"P3",1,1,1,1,17
12,"P3",1,0,1,1,18
12,"P3",1,0,1,1,19
12,"P3",1,0,1,1,20
12,"O2",1,0,1,0,1
12,"O2",1,0,1,0,2
12,"O2",1,1,1,0,3
12,"O2",1,1,1,0,4
12,"O2",1,0,1,0,5
12,"O2",1,0,1,0,6
12,"O2",1,0,1,0,7
12,"O2",1,0,1,0,8
12,"O2",1,0,1,0,9
12,"O2",1,0,1,0,10
12,"O2",1,1,1,1,11
12,"O2",1,0,1,1,12
12,"O2",1,0,1,1,13
12,"O2",1,0,1,1,14
12,"O2",1,0,1,1,15
