"Participante","Canal","Epocas","Epocas_estacionarias","Grupo","Etapa","Proporcion"
9,"Fp2",10,0,1,"NMOR",0
9,"Fp2",10,0,1,"MOR",0
9,"Fp1",10,0,1,"NMOR",0
9,"Fp1",10,0,1,"MOR",0
9,"F8",10,1,1,"NMOR",10
9,"F8",10,0,1,"MOR",0
9,"F7",10,1,1,"NMOR",10
9,"F7",10,0,1,"MOR",0
9,"F4",10,1,1,"NMOR",10
9,"F4",10,0,1,"MOR",0
9,"F3",10,1,1,"NMOR",10
9,"F3",10,0,1,"MOR",0
9,"T4",10,2,1,"NMOR",20
9,"T4",10,1,1,"MOR",10
9,"T3",10,1,1,"NMOR",10
9,"T3",10,1,1,"MOR",10
9,"C4",10,0,1,"NMOR",0
9,"C4",10,0,1,"MOR",0
9,"C3",10,1,1,"NMOR",10
9,"C3",10,2,1,"MOR",20
9,"T6",10,1,1,"NMOR",10
9,"T6",10,0,1,"MOR",0
9,"T5",10,0,1,"NMOR",0
9,"T5",10,0,1,"MOR",0
9,"P4",10,0,1,"NMOR",0
9,"P4",10,0,1,"MOR",0
9,"P3",10,0,1,"NMOR",0
9,"P3",10,1,1,"MOR",10
9,"O2",10,0,1,"NMOR",0
9,"O2",10,0,1,"MOR",0
9,"O1",10,0,1,"NMOR",0
9,"O1",10,0,1,"MOR",0
9,"FZ",10,0,1,"NMOR",0
9,"FZ",10,1,1,"MOR",10
9,"CZ",10,0,1,"NMOR",0
9,"CZ",10,0,1,"MOR",0
9,"PZ",10,1,1,"NMOR",10
9,"PZ",10,0,1,"MOR",0
9,"LOG",10,1,1,"NMOR",10
9,"LOG",10,0,1,"MOR",0
9,"ROG",10,0,1,"NMOR",0
9,"ROG",10,0,1,"MOR",0
9,"EMG",10,1,1,"NMOR",10
9,"EMG",10,0,1,"MOR",0
