"Etapa","[#]","Epoca [#]","Inicio [hhmmss]","Fin [hhmmss]"
"NMOR","1","228","01:53:30","01:54:0"
"NMOR","2","229","01:54:0","01:54:30"
"NMOR","3","230","01:54:30","01:55:0"
"NMOR","4","231","01:55:0","01:55:30"
"NMOR","5","232","01:55:30","01:56:0"
"NMOR","6","233","01:56:0","01:56:30"
"NMOR","7","234","01:56:30","01:57:0"
"NMOR","8","235","01:57:0","01:57:30"
"NMOR","9","236","01:57:30","01:58:0"
"NMOR","10","237","01:58:0","01:58:30"
"MOR","1","238","01:58:30","01:59:0"
"MOR","2","239","01:59:0","01:59:30"
"MOR","3","240","01:59:30","02:00:00"
"MOR","4","241","02:00:00","02:00:030"
"MOR","5","242","02:00:030","02:01:00"
"MOR","6","243","02:01:00","02:01:030"
"MOR","7","244","02:01:030","02:02:00"
"MOR","8","408","03:23:30","03:24:0"
"MOR","9","409","03:24:0","03:24:30"
"MOR","10","410","03:24:30","03:25:0"
