"Etapa","[#]","Epoca [#]","Inicio [hhmmss]","Fin [hhmmss]"
"NMOR","1","192","01:35:30","01:36:0"
"NMOR","2","193","01:36:0","01:36:30"
"NMOR","3","194","01:36:30","01:37:0"
"NMOR","4","195","01:37:0","01:37:30"
"NMOR","5","196","01:37:30","01:38:0"
"NMOR","6","197","01:38:0","01:38:30"
"NMOR","7","198","01:38:30","01:39:0"
"NMOR","8","199","01:39:0","01:39:30"
"NMOR","9","200","01:39:30","01:40:0"
"NMOR","10","201","01:40:0","01:40:30"
"MOR","1","202","01:40:30","01:41:0"
"MOR","2","208","01:43:30","01:44:0"
"MOR","3","209","01:44:0","01:44:30"
"MOR","4","210","01:44:30","01:45:0"
"MOR","5","211","01:45:0","01:45:30"
"MOR","6","212","01:45:30","01:46:0"
"MOR","7","213","01:46:0","01:46:30"
"MOR","8","215","01:47:0","01:47:30"
"MOR","9","219","01:49:0","01:49:30"
"MOR","10","220","01:49:30","01:50:0"
