"Participante","Canal","Epocas","Epocas_estacionarias","Grupo","Etapa","Proporcion"
4,"Fp2",30,5,0,"NMOR",16.6666666666667
4,"Fp2",30,3,0,"MOR",10
4,"Fp1",30,5,0,"NMOR",16.6666666666667
4,"Fp1",30,3,0,"MOR",10
4,"F8",30,8,0,"NMOR",26.6666666666667
4,"F8",30,3,0,"MOR",10
4,"F7",30,8,0,"NMOR",26.6666666666667
4,"F7",30,4,0,"MOR",13.3333333333333
4,"F4",30,2,0,"NMOR",6.66666666666667
4,"F4",30,3,0,"MOR",10
4,"F3",30,9,0,"NMOR",30
4,"F3",30,0,0,"MOR",0
4,"T4",30,6,0,"NMOR",20
4,"T4",30,9,0,"MOR",30
4,"T3",30,6,0,"NMOR",20
4,"T3",30,0,0,"MOR",0
4,"C4",30,8,0,"NMOR",26.6666666666667
4,"C4",30,5,0,"MOR",16.6666666666667
4,"C3",30,3,0,"NMOR",10
4,"C3",30,11,0,"MOR",36.6666666666667
4,"T6",30,11,0,"NMOR",36.6666666666667
4,"T6",30,22,0,"MOR",73.3333333333333
4,"T5",30,0,0,"NMOR",0
4,"T5",30,0,0,"MOR",0
4,"P4",30,3,0,"NMOR",10
4,"P4",30,2,0,"MOR",6.66666666666667
4,"P3",30,0,0,"NMOR",0
4,"P3",30,0,0,"MOR",0
4,"O2",30,13,0,"NMOR",43.3333333333333
4,"O2",30,8,0,"MOR",26.6666666666667
4,"O1",30,2,0,"NMOR",6.66666666666667
4,"O1",30,2,0,"MOR",6.66666666666667
4,"FZ",30,8,0,"NMOR",26.6666666666667
4,"FZ",30,0,0,"MOR",0
4,"CZ",30,8,0,"NMOR",26.6666666666667
4,"CZ",30,5,0,"MOR",16.6666666666667
4,"PZ",30,7,0,"NMOR",23.3333333333333
4,"PZ",30,0,0,"MOR",0
4,"LOG",30,0,0,"NMOR",0
4,"LOG",30,3,0,"MOR",10
4,"ROG",30,0,0,"NMOR",0
4,"ROG",30,0,0,"MOR",0
4,"EMG",30,0,0,"NMOR",0
4,"EMG",30,18,0,"MOR",60
