"Participante","Canal","Valido","Estacionario","Grupo","Etapa","Indice"
14,"Fp2",1,0,1,0,1
14,"Fp2",1,0,1,0,2
14,"Fp2",1,0,1,0,3
14,"Fp2",1,0,1,0,4
14,"Fp2",1,0,1,0,5
14,"Fp2",1,0,1,0,6
14,"Fp2",1,0,1,0,7
14,"Fp2",1,0,1,0,8
14,"Fp2",1,0,1,0,9
14,"Fp2",1,0,1,0,10
14,"Fp2",1,0,1,1,11
14,"Fp2",1,0,1,1,12
14,"Fp2",1,0,1,1,13
14,"Fp2",1,0,1,1,14
14,"Fp2",1,0,1,1,15
14,"Fp2",1,0,1,1,16
14,"Fp2",1,0,1,1,17
14,"Fp2",1,0,1,1,18
14,"Fp2",1,0,1,1,19
14,"Fp2",1,0,1,1,20
14,"Fp1",1,0,1,0,1
14,"Fp1",1,0,1,0,2
14,"Fp1",1,0,1,0,3
14,"Fp1",1,1,1,0,4
14,"Fp1",1,0,1,0,5
14,"Fp1",1,0,1,0,6
14,"Fp1",1,0,1,0,7
14,"Fp1",1,0,1,0,8
14,"Fp1",1,0,1,0,9
14,"Fp1",1,0,1,0,10
14,"Fp1",1,0,1,1,11
14,"Fp1",1,0,1,1,12
14,"Fp1",1,0,1,1,13
14,"Fp1",1,0,1,1,14
14,"Fp1",1,0,1,1,15
14,"Fp1",1,0,1,1,16
14,"Fp1",1,0,1,1,17
14,"Fp1",1,0,1,1,18
14,"Fp1",1,0,1,1,19
14,"Fp1",1,0,1,1,20
14,"F8",1,0,1,0,1
14,"F8",1,0,1,0,2
14,"F8",1,0,1,0,3
14,"F8",1,1,1,0,4
14,"F8",1,0,1,0,5
14,"F8",1,0,1,0,6
14,"F8",1,0,1,0,7
14,"F8",1,0,1,0,8
14,"F8",1,0,1,0,9
14,"F8",1,0,1,0,10
14,"F8",1,0,1,1,11
14,"F8",1,0,1,1,12
14,"F8",1,0,1,1,13
14,"F8",1,0,1,1,14
14,"F8",1,1,1,1,15
14,"F8",1,0,1,1,16
14,"F8",1,1,1,1,17
14,"F8",1,0,1,1,18
14,"F8",1,0,1,1,19
14,"F8",1,0,1,1,20
14,"F7",1,0,1,0,1
14,"F7",1,0,1,0,2
14,"F7",1,0,1,0,3
