"Etapa","[#]","Epoca [#]","Inicio [hhmmss]","Fin [hhmmss]"
"NMOR","1","98","00:48:30","00:49:0"
"NMOR","2","99","00:49:0","00:49:30"
"NMOR","3","100","00:49:30","00:50:0"
"NMOR","4","101","00:50:0","00:50:30"
"NMOR","5","102","00:50:30","00:51:0"
"NMOR","6","103","00:51:0","00:51:30"
"NMOR","7","104","00:51:30","00:52:0"
"NMOR","8","105","00:52:0","00:52:30"
"NMOR","9","106","00:52:30","00:53:0"
"NMOR","10","107","00:53:0","00:53:30"
"MOR","1","108","00:53:30","00:54:0"
"MOR","2","110","00:54:30","00:55:0"
"MOR","3","111","00:55:0","00:55:30"
"MOR","4","112","00:55:30","00:56:0"
"MOR","5","113","00:56:0","00:56:30"
"MOR","6","114","00:56:30","00:57:0"
"MOR","7","115","00:57:0","00:57:30"
"MOR","8","117","00:58:0","00:58:30"
"MOR","9","138","01:08:030","01:09:00"
"MOR","10","140","01:09:030","01:10:0"
