"Etapa","[#]","Epoca [#]","Inicio [hhmmss]","Fin [hhmmss]"
"NMOR","1","173","01:26:0","01:26:30"
"NMOR","2","174","01:26:30","01:27:0"
"NMOR","3","175","01:27:0","01:27:30"
"NMOR","4","176","01:27:30","01:28:0"
"NMOR","5","177","01:28:0","01:28:30"
"NMOR","6","178","01:28:30","01:29:0"
"NMOR","7","179","01:29:0","01:29:30"
"NMOR","8","180","01:29:30","01:30:0"
"NMOR","9","181","01:30:0","01:30:30"
"NMOR","10","182","01:30:30","01:31:0"
"MOR","1","183","01:31:0","01:31:30"
"MOR","2","184","01:31:30","01:32:0"
"MOR","3","185","01:32:0","01:32:30"
"MOR","4","186","01:32:30","01:33:0"
"MOR","5","187","01:33:0","01:33:30"
"MOR","6","188","01:33:30","01:34:0"
"MOR","7","189","01:34:0","01:34:30"
"MOR","8","190","01:34:30","01:35:0"
"MOR","9","191","01:35:0","01:35:30"
"MOR","10","192","01:35:30","01:36:0"
