"Participante","Canal","Valido","Estacionario","Grupo","Etapa","Indice"
2,"Fp2",1,0,0,0,1
2,"Fp2",1,1,0,0,2
2,"Fp2",1,0,0,0,3
2,"Fp2",1,0,0,0,4
2,"Fp2",1,0,0,0,5
2,"Fp2",1,1,0,0,6
2,"Fp2",1,1,0,0,7
2,"Fp2",1,0,0,0,8
2,"Fp2",1,0,0,0,9
2,"Fp2",1,0,0,0,10
2,"Fp2",1,0,0,1,11
2,"Fp2",1,0,0,1,12
2,"Fp2",1,0,0,1,13
2,"Fp2",1,1,0,1,14
2,"Fp2",1,0,0,1,15
2,"Fp2",1,0,0,1,16
2,"Fp2",1,0,0,1,17
2,"Fp2",1,0,0,1,18
2,"Fp2",1,0,0,1,19
2,"Fp2",1,0,0,1,20
2,"Fp1",1,0,0,0,1
2,"Fp1",1,1,0,0,2
2,"Fp1",1,0,0,0,3
2,"Fp1",1,0,0,0,4
2,"Fp1",1,0,0,0,5
2,"Fp1",1,1,0,0,6
2,"Fp1",1,0,0,0,7
2,"Fp1",1,1,0,0,8
2,"Fp1",1,0,0,0,9
2,"Fp1",1,0,0,0,10
2,"Fp1",1,0,0,1,11
2,"Fp1",1,0,0,1,12
2,"Fp1",1,0,0,1,13
2,"Fp1",1,0,0,1,14
2,"Fp1",1,0,0,1,15
2,"Fp1",1,0,0,1,16
2,"Fp1",1,0,0,1,17
2,"Fp1",1,0,0,1,18
2,"Fp1",1,0,0,1,19
2,"Fp1",1,1,0,1,20
2,"F8",1,1,0,0,1
2,"F8",1,0,0,0,2
2,"F8",1,0,0,0,3
2,"F8",1,1,0,0,4
2,"F8",1,1,0,0,5
2,"F8",1,1,0,0,6
2,"F8",1,0,0,0,7
2,"F8",1,0,0,0,8
2,"F8",1,0,0,0,9
2,"F8",1,0,0,0,10
2,"F8",1,0,0,1,11
2,"F8",1,0,0,1,12
2,"F8",1,0,0,1,13
2,"F8",1,0,0,1,14
2,"F8",1,0,0,1,15
2,"F8",1,1,0,1,16
2,"F8",1,0,0,1,17
2,"F8",1,0,0,1,18
2,"F8",1,0,0,1,19
2,"F8",1,0,0,1,20
2,"F7",1,1,0,0,1
2,"F7",1,1,0,0,2
2,"F7",1,0,0,0,3
2,"F7",1,1,0,0,4
2,"F7",1,1,0,0,5
2,"F7",1,1,0,0,6
2,"F7",1,0,0,0,7
2,"F7",1,0,0,0,8
2,"F7",1,0,0,0,9
2,"F7",1,0,0,0,10
2,"F7",1,0,0,1,11
2,"F7",1,0,0,1,12
2,"F7",1,0,0,1,13
2,"F7",1,0,0,1,14
2,"F7",1,0,0,1,15
2,"F7",1,0,0,1,16
2,"F7",1,0,0,1,17
2,"F7",1,0,0,1,18
2,"F7",1,0,0,1,19
2,"F7",1,1,0,1,20
2,"F4",1,1,0,0,1
2,"F4",1,1,0,0,2
2,"F4",1,0,0,0,3
2,"F4",1,1,0,0,4
2,"F4",1,1,0,0,5
2,"F4",1,1,0,0,6
2,"F4",1,1,0,0,7
2,"F4",1,0,0,0,8
2,"F4",1,0,0,0,9
2,"F4",1,0,0,0,10
2,"F4",1,0,0,1,11
2,"F4",1,0,0,1,12
2,"F4",1,0,0,1,13
2,"F4",1,1,0,1,14
2,"F4",1,0,0,1,15
2,"F4",1,0,0,1,16
2,"F4",1,0,0,1,17
2,"F4",1,1,0,1,18
2,"F4",1,1,0,1,19
2,"F4",1,1,0,1,20
2,"F3",1,0,0,0,1
2,"F3",1,1,0,0,2
2,"F3",1,0,0,0,3
2,"F3",1,1,0,0,4
2,"F3",1,1,0,0,5
2,"F3",1,1,0,0,6
2,"F3",1,0,0,0,7
2,"F3",1,1,0,0,8
2,"F3",1,0,0,0,9
2,"F3",1,0,0,0,10
2,"F3",1,0,0,1,11
2,"F3",1,0,0,1,12
2,"F3",1,0,0,1,13
2,"F3",1,1,0,1,14
2,"F3",1,0,0,1,15
