"Participante","Canal","Epocas","Epocas_estacionarias","Grupo","Etapa","Proporcion"
3,"Fp2",10,0,0,"NMOR",0
3,"Fp2",10,0,0,"MOR",0
3,"Fp1",10,0,0,"NMOR",0
3,"Fp1",10,1,0,"MOR",10
3,"F8",10,0,0,"NMOR",0
3,"F8",10,0,0,"MOR",0
3,"F7",10,0,0,"NMOR",0
3,"F7",10,1,0,"MOR",10
3,"F4",10,0,0,"NMOR",0
3,"F4",10,1,0,"MOR",10
3,"F3",10,0,0,"NMOR",0
3,"F3",10,0,0,"MOR",0
3,"T4",10,0,0,"NMOR",0
3,"T4",10,0,0,"MOR",0
3,"T3",10,0,0,"NMOR",0
3,"T3",10,0,0,"MOR",0
3,"C4",10,2,0,"NMOR",20
3,"C4",10,1,0,"MOR",10
3,"C3",10,1,0,"NMOR",10
3,"C3",10,2,0,"MOR",20
3,"T6",10,1,0,"NMOR",10
3,"T6",10,0,0,"MOR",0
3,"T5",10,0,0,"NMOR",0
3,"T5",10,0,0,"MOR",0
3,"P4",10,0,0,"NMOR",0
3,"P4",10,0,0,"MOR",0
3,"P3",10,0,0,"NMOR",0
3,"P3",10,0,0,"MOR",0
3,"O2",10,0,0,"NMOR",0
3,"O2",10,0,0,"MOR",0
3,"O1",10,0,0,"NMOR",0
3,"O1",10,1,0,"MOR",10
3,"FZ",10,0,0,"NMOR",0
3,"FZ",10,0,0,"MOR",0
3,"CZ",10,0,0,"NMOR",0
3,"CZ",10,0,0,"MOR",0
3,"PZ",10,0,0,"NMOR",0
3,"PZ",10,0,0,"MOR",0
3,"LOG",10,2,0,"NMOR",20
3,"LOG",10,0,0,"MOR",0
3,"ROG",10,0,0,"NMOR",0
3,"ROG",10,0,0,"MOR",0
3,"EMG",10,1,0,"NMOR",10
3,"EMG",10,0,0,"MOR",0
